hop_avg,hop_host,hop_stdev,trace_time,hop_wrst,hop_loss,hop_best
32.7,angus.amuri.net,22.1,2016-02-10 22:31:35+13,98.9,0.0,14.9
30.9,angus.amuri.net,35.4,2016-02-10 22:37:54+13,174.1,0.0,12.9
18.2,angus.amuri.net,4.4,2016-02-10 22:44:12+13,28.0,0.0,13.3
20.2,angus.amuri.net,7.7,2016-02-10 22:50:30+13,34.9,0.0,9.7
75.7,angus.amuri.net,52.7,2016-02-10 22:56:53+13,149.0,0.0,18.0
24.4,angus.amuri.net,8.1,2016-02-10 23:03:12+13,47.2,5.0,15.5
19.4,angus.amuri.net,5.9,2016-02-10 23:09:30+13,37.4,5.0,12.6
18.4,angus.amuri.net,5.3,2016-02-10 23:15:48+13,30.2,5.0,12.9
18.3,angus.amuri.net,5.9,2016-02-10 23:22:06+13,38.6,0.0,12.2
17.8,angus.amuri.net,5.4,2016-02-10 23:28:24+13,32.4,5.0,12.0
17.3,angus.amuri.net,5.2,2016-02-10 23:34:42+13,33.7,0.0,12.4
21.8,angus.amuri.net,8.8,2016-02-10 23:41:01+13,37.1,0.0,12.0
18.8,angus.amuri.net,6.1,2016-02-10 23:47:19+13,31.4,0.0,12.0
