17908;104865;WASHINGTON MUTUAL INVESTORS FUND;40-APP/A;03.03.2015;edgar/data/104865/0000051931-15-000241.txt;
17920;1048685;METALICO INC;8-K;03.03.2015;edgar/data/1048685/0001299933-15-000330.txt;
17967;1048702;NATIONWIDE MUTUAL FUNDS;497J;03.03.2015;edgar/data/1048702/0001582816-15-000062.txt;
18212;104918;AVISTA CORP;8-K;03.03.2015;edgar/data/104918/0000104918-15-000054.txt;
18274;1049521;MERCURY SYSTEMS INC;8-K;03.03.2015;edgar/data/1049521/0001049521-15-000011.txt;
18348;1049887;FIREBIRD REPUBLICS FUND LTD;D/A;03.03.2015;edgar/data/1049887/0001012975-15-000177.txt;
19017;1051629;LINCOLN LIFE & ANNUITY FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT M;N-30D;03.03.2015;edgar/data/1051629/0000726865-15-000096.txt;
19084;1051932;LINCOLN LIFE FLEXIBLE PREMIUM VARIABLE LIFE ACCOUNT R;N-30D;03.03.2015;edgar/data/1051932/0000726865-15-000096.txt;
19269;1052192;CASCADE INVESTMENT LLC;SC 13D/A;03.03.2015;edgar/data/1052192/0001104659-15-016255.txt;
19902;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000891092-15-001824.txt;
19903;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000891092-15-001825.txt;
19904;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000891092-15-001826.txt;
19905;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001677.txt;
19906;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001679.txt;
19907;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001693.txt;
19908;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001710.txt;
19909;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001712.txt;
19910;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001714.txt;
19911;1053092;CREDIT SUISSE AG;424B2;03.03.2015;edgar/data/1053092/0000950103-15-001720.txt;
